"","BATTER_UID","AVG","OBP","SLG","VENUE_KEY","OUTS","BALLS","STRIKES","BATS_LEFT","THROWS_LEFT","PITCH_NUMBER","RELEASE_SPEED","PLATE_X","PLATE_Z","INDUCED_VERTICAL_BREAK","HORIZONTAL_BREAK","VERTICAL_APPROACH_ANGLE","HORIZONTAL_APPROACH_ANGLE","Prob of Single","Prob of Double","Prob of Triple","Prob of Home Run"
"2752",82,0.2365,0.3505,0.429,2852,1,1,1,0,1,3,83.2612991333008,-0.0795805007219315,1.67097997665405,1.35064995288849,-2.66614985466003,-8.21508979797363,-2.24428009986877,0.241,0.082,0.007,0.041
"2753",16,0.28,0.353,0.361,2542,0,2,0,0,0,3,91.7193984985352,-0.74700802564621,2.69018006324768,17.7667007446289,-6.53292989730835,-5.01309013366699,0.668464958667755,0.192,0.1,0.006,0.103
"2754",84,0.267,0.3825,0.389,2842,0,0,0,1,0,1,91.2453002929688,0.118706002831459,3.17770981788635,20.5993003845215,-6.12602949142456,-5.05128002166748,0.344345986843109,0.19,0.087,0.009,0.086
"2755",122,0.245,0.3,0.3745,2745,2,0,0,1,0,1,88.9741973876953,0.683752000331879,2.57156991958618,20.2765007019043,-4.01482009887695,-5.04373979568482,0.983029007911682,0.184,0.077,0.013,0.085
"2756",134,0.273,0.378,0.481,3789,0,0,1,1,1,2,93.4953994750977,0.889011979103088,2.68546009063721,15.6814994812012,13.9233999252319,-5.22736978530884,0.069244995713234,0.238,0.067,0.011,0.046
"2757",16,0.28,0.353,0.361,2542,2,0,1,0,1,2,83.0052947998047,0.411966979503632,2.30146980285645,7.89685010910034,17.7621002197266,-6.20447969436646,-0.139191001653671,0.202,0.072,0.011,0.063
"2758",137,0.268333,0.370333,0.385666,4715,0,0,0,1,0,1,93.5850982666016,-0.596226990222931,2.39746999740601,8.58236980438232,-17.5568008422852,-5.92318964004517,-0.311291009187698,0.242,0.089,0.005,0.048
"2759",81,0.261,0.3285,0.3655,2843,1,0,1,1,0,2,88.771598815918,1.15548992156982,2.83024001121521,3.5897901058197,2.70533990859985,-6.21753025054932,3.46561980247498,0.237,0.063,0.013,0.047
"2760",88,0.268333,0.333333,0.361,2528,2,2,2,0,1,7,85.1430969238281,0.226812988519669,2.1846399307251,6.76341009140015,-5.32991981506348,-6.99230003356934,-2.1298999786377,0.214,0.067,0.009,0.048
"2761",152,0.314,0.353,0.461,2683,1,0,2,0,1,3,75.4452972412109,-0.31878998875618,1.3076399564743,-7.63800001144409,-9.89774990081787,-10.8396997451782,-3.36880993843079,0.26,0.089,0.007,0.022
"2762",142,0.3195,0.3605,0.4435,2858,0,0,2,0,1,4,85.6423034667969,-0.0812766999006271,2.26306009292603,-3.14546966552734,15.6884002685547,-6.06110000610352,-2.4936900138855,0.256,0.065,0.007,0.031
"2763",117,0.2845,0.344,0.4435,2843,2,0,0,0,1,1,81.9401016235352,0.133294001221657,2.38779997825623,14.360499382019,2.75575995445251,-6.96280002593994,-1.5372200012207,0.176,0.086,0.009,0.092
"2764",65,0.27,0.375,0.409,4669,2,1,2,0,1,4,79.8744964599609,-0.75474601984024,2.42018985748291,-1.0736700296402,-1.62165999412537,-7.7469596862793,-2.95816993713379,0.215,0.087,0.008,0.048
"2765",49,0.269666,0.351,0.413333,2823,0,0,1,1,0,2,88.4618988037109,0.533553957939148,1.31396996974945,1.04120004177094,-18.2220001220703,-8.24283981323242,1.72295999526978,0.289,0.077,0.008,0.022
"2766",85,0.238,0.314,0.411,2767,2,2,1,1,0,4,84.7783966064453,0.707561016082764,1.75132989883423,-2.08006000518799,8.38251972198486,-8.44572925567627,3.04543995857239,0.246,0.07,0.01,0.049
"2767",98,0.2965,0.384,0.527,2823,2,0,0,1,0,1,76.5571975708008,0.325610995292664,2.19230008125305,-13.3817005157471,8.60034942626953,-9.72991943359375,2.6970100402832,0.221,0.074,0.007,0.064
"2768",0,0.289,0.330666,0.453,2844,0,0,0,0,0,1,91.6262969970703,0.573881983757019,2.6044499874115,16.8073997497559,-5.92413949966431,-5.64127969741821,0.209946006536484,0.216,0.078,0.009,0.062
"2769",25,0.264,0.364,0.48,4715,1,0,0,1,1,1,96.3776931762695,-0.203955009579659,2.29871010780334,5.57630968093872,9.90948009490967,-6.76039981842041,0.164223998785019,0.267,0.075,0.006,0.045
"2770",74,0.2905,0.3425,0.457,2529,2,3,2,1,0,6,89.6257019042969,0.160050004720688,2.19341993331909,7.72110986709595,4.2843599319458,-7.12945985794067,1.7510199546814,0.238,0.077,0.01,0.05
"2771",41,0.2405,0.3375,0.4175,3789,1,3,1,0,0,5,83.9648971557617,0.388302981853485,1.34463000297546,2.61475992202759,-0.816689968109131,-8.22601985931396,3.36361980438232,0.236,0.083,0.009,0.054
"2772",66,0.277,0.3475,0.4255,2745,1,2,1,0,0,4,86.4268951416016,-0.567855000495911,2.36169981956482,8.65865993499756,-12.598198890686,-6.5431399345398,-0.270679980516434,0.209,0.094,0.007,0.066
"2773",137,0.268333,0.370333,0.385666,4271,1,2,0,1,0,3,94.2845001220703,-0.781485974788666,2.32818984985352,18.3889999389648,-8.87176990509033,-5.63663005828857,0.150632008910179,0.208,0.099,0.006,0.085
"2774",104,0.2755,0.359,0.467,2529,2,0,0,1,0,1,81.1195983886719,-0.366048991680145,1.81121003627777,11.4785995483398,-8.32483959197998,-7.60557985305786,1.37316000461578,0.184,0.099,0.007,0.076
"2775",117,0.2845,0.344,0.4435,5421,1,1,2,0,0,4,94.2600936889648,0.35098597407341,2.20879983901978,18.334300994873,-7.65143966674805,-5.71386003494263,0.836169958114624,0.246,0.078,0.011,0.033
"2776",122,0.245,0.3,0.3745,5355,2,2,2,1,0,5,92.3983001708984,-0.317214012145996,2.31405997276306,14.735499382019,-1.28993999958038,-5.04623985290527,2.02272987365723,0.223,0.083,0.01,0.051
"2777",144,0.219,0.294,0.482,2844,0,0,1,0,1,2,91.1410980224609,-0.4391930103302,3.38363003730774,17.4850006103516,2.15107989311218,-3.9342999458313,-1.95798003673553,0.196,0.085,0.008,0.072
"2778",104,0.2755,0.359,0.467,5355,1,0,1,1,1,2,96.5497970581055,-0.656208992004395,2.75604009628296,8.94637966156006,4.28125,-6.1972804069519,-0.914484977722168,0.258,0.081,0.006,0.04
"2779",1,0.3025,0.348,0.555,4271,1,0,0,0,1,1,83.2569961547852,0.332652986049652,2.79947996139526,8.17202949523926,16.4543991088867,-6.59533023834229,0.0815329998731613,0.189,0.078,0.009,0.094
"2780",85,0.238,0.314,0.411,2844,0,3,2,1,1,7,89.9869995117188,0.506217002868652,2.24002981185913,17.5034999847412,12.9877996444702,-5.93066024780273,0.965299963951111,0.217,0.075,0.01,0.058
"2781",97,0.211,0.2905,0.3725,5472,0,0,0,1,0,1,84.7437973022461,-0.894069015979767,2.34393978118896,6.71396970748901,-17.2049007415771,-6.846360206604,-1.06432998180389,0.206,0.102,0.005,0.064
"2782",70,0.238666,0.293666,0.389333,5472,0,0,1,0,0,2,82.7636947631836,1.25680994987488,2.67358994483948,5.00720977783203,-6.87452983856201,-7.23863983154297,2.54677987098694,0.219,0.071,0.013,0.048
"2783",25,0.264,0.364,0.48,2844,0,3,2,1,0,7,92.0811004638672,-0.939872980117798,2.7316300868988,8.0657901763916,0.246849983930588,-4.95445966720581,1.53987991809845,0.223,0.086,0.006,0.06
"2784",51,0.271,0.3205,0.411,3970,1,2,0,0,0,3,81.7718963623047,-0.0715707987546921,3.1738498210907,14.0708999633789,-13.6177997589111,-5.79154014587402,-0.58082103729248,0.155,0.093,0.01,0.149
"2785",57,0.289333,0.325333,0.406,4669,1,0,1,1,0,2,74.3950958251953,-0.475618988275528,2.86340975761414,9.06235980987549,-7.87164974212646,-6.4313497543335,0.292988002300262,0.154,0.101,0.009,0.097
"2786",40,0.281666,0.372333,0.395666,2745,0,0,2,1,0,3,83.4834976196289,0.0204217992722988,1.39598000049591,0.90909993648529,2.78470993041992,-8.36073970794678,2.61422991752625,0.266,0.085,0.007,0.023
"2787",1,0.3025,0.348,0.555,2767,1,2,0,0,0,3,81.8606033325195,-0.216446995735168,2.59766983985901,-1.70674002170563,-5.97710990905762,-7.53238010406494,1.60276997089386,0.198,0.087,0.007,0.098
"2788",142,0.3195,0.3605,0.4435,2858,1,0,0,1,0,1,95.8319931030273,-0.332322001457214,2.46137976646423,13.5052003860474,-13.9430990219116,-5.18293952941895,0.29076299071312,0.233,0.084,0.007,0.054
"2789",142,0.3195,0.3605,0.4435,5472,0,2,1,1,0,4,90.3244934082031,0.952211976051331,3.00953006744385,16.9857006072998,-6.91960954666138,-5.29608964920044,2.02752995491028,0.205,0.075,0.013,0.074
"2790",97,0.211,0.2905,0.3725,5472,2,1,0,1,0,2,81.9837951660156,-0.40760800242424,2.67262005805969,8.4940299987793,-7.01946973800659,-6.59810972213745,2.05516004562378,0.171,0.094,0.008,0.114
"2791",0,0.289,0.330666,0.453,5472,0,2,2,0,1,5,87.7723007202148,0.151210993528366,2.82711005210876,16.9181003570557,6.32714986801147,-5.10426998138428,-1.65725994110107,0.205,0.081,0.011,0.062
"2792",1,0.3025,0.348,0.555,2724,2,2,2,0,0,7,86.0221939086914,-0.262586981058121,2.01908993721008,-2.15713000297546,2.49328994750977,-8.73060035705566,0.492333978414536,0.243,0.071,0.006,0.039
"2793",88,0.268333,0.333333,0.361,2772,2,1,2,1,0,4,93.5362014770508,0.773939967155457,3.0124397277832,14.1464004516602,-0.941790997982025,-5.52641010284424,2.35227990150452,0.231,0.067,0.014,0.045
"2794",66,0.277,0.3475,0.4255,2745,0,2,1,0,1,4,84.6737976074219,0.87617301940918,1.43401992321014,5.06324005126953,20.0285987854004,-7.22214937210083,0.281993001699448,0.244,0.071,0.01,0.049
"2795",57,0.289333,0.325333,0.406,2528,0,0,1,0,1,2,78.6925964355469,0.0174751989543438,2.81154012680054,7.97026014328003,7.64478015899658,-6.79330968856812,-2.56643986701965,0.186,0.086,0.009,0.072
"2796",66,0.277,0.3475,0.4255,2772,1,1,2,0,0,4,93.0564956665039,-0.935812950134277,2.85954999923706,11.3148002624512,-14.7744998931885,-5.46870994567871,0.289761990308762,0.233,0.092,0.007,0.041
"2797",34,0.263,0.379666,0.376666,2541,1,2,2,1,0,5,90.0846939086914,-1.00635004043579,1.54311001300812,9.546799659729,-20.3187007904053,-6.88989019393921,-1.31086993217468,0.254,0.099,0.006,0.031
"2798",107,0.261,0.3035,0.411,2823,1,0,0,1,0,1,92.3021011352539,0.279740989208221,2.87893986701965,19.4545001983643,-5.84792995452881,-4.75637006759644,1.51894998550415,0.195,0.081,0.01,0.08
"2799",73,0.289,0.381,0.374,2528,0,0,0,1,1,1,92.9519958496094,-0.0958667024970055,2.13173985481262,18.3005981445312,7.79067993164062,-5.50696992874146,-0.467476963996887,0.222,0.086,0.007,0.06
"2800",133,0.264,0.3265,0.3625,2541,0,2,2,1,0,5,84.2994003295898,-0.152390003204346,2.84217000007629,6.43206977844238,-16.8729000091553,-6.73625993728638,-0.195654004812241,0.215,0.088,0.009,0.051
"2801",41,0.2405,0.3375,0.4175,3789,1,0,1,0,0,2,92.6389999389648,-0.594027996063232,2.0406699180603,10.942099571228,-9.79211902618408,-6.39002990722656,-0.550526976585388,0.248,0.088,0.006,0.036
"2802",45,0.277,0.3205,0.4225,4715,0,2,2,0,0,6,84.1331024169922,0.66969496011734,2.06523990631104,-1.76923990249634,-0.905089974403381,-7.60081005096436,2.06972002983093,0.249,0.068,0.009,0.037
"2803",136,0.298666,0.361666,0.491666,2823,2,2,2,1,0,5,94.0177993774414,0.466048985719681,2.01898980140686,12.1868991851807,-2.22483992576599,-6.349289894104,2.24935984611511,0.256,0.073,0.011,0.035
"2804",35,0.255,0.324,0.427,5472,1,1,0,0,0,2,89.1993942260742,-1.34300994873047,1.94566988945007,3.33283019065857,-14.8034992218018,-7.37599945068359,-1.08799993991852,0.234,0.102,0.004,0.057
"2805",34,0.263,0.379666,0.376666,2541,1,1,2,1,0,4,87.8074951171875,0.321231007575989,2.50853991508484,0.241719990968704,0.984610021114349,-7.44719982147217,2.59804010391235,0.256,0.073,0.01,0.034
"2806",30,0.2815,0.3255,0.4525,4715,0,2,2,1,1,5,88.0804977416992,0.816789984703064,3.58350992202759,11.4967994689941,17.1133003234863,-4.98689985275269,-0.109243996441364,0.206,0.067,0.014,0.073
"2807",34,0.263,0.379666,0.376666,2852,1,3,2,1,0,7,92.5251998901367,-0.376057982444763,3.11814975738525,13.1004991531372,-10.6946001052856,-4.99997997283936,1.38022994995117,0.207,0.081,0.008,0.068
"2808",0,0.289,0.330666,0.453,2858,2,2,1,0,0,4,88.1468963623047,-0.0406760014593601,2.84852981567383,10.2660999298096,-0.8610600233078,-5.37194013595581,2.8092999458313,0.194,0.081,0.01,0.088
"2809",136,0.298666,0.361666,0.491666,2797,1,0,1,1,0,2,80.0730972290039,-0.100382000207901,1.99396991729736,-0.350649982690811,7.32533979415893,-7.7110595703125,3.42165994644165,0.215,0.085,0.008,0.052
"2810",97,0.211,0.2905,0.3725,3970,1,3,2,1,1,6,82,-0.0811446979641914,2.62566995620728,3.76567983627319,-8.82744979858398,-7.31247997283936,-3.49878001213074,0.213,0.083,0.01,0.06
"2811",16,0.28,0.353,0.361,2852,2,0,1,0,1,2,83.4302978515625,0.0181671995669603,1.34221994876862,3.23100996017456,12.5881996154785,-8.35031986236572,-1.88333988189697,0.243,0.078,0.008,0.037
"2812",117,0.2845,0.344,0.4435,2772,0,2,2,0,1,8,89.165901184082,0.653363943099976,2.81294012069702,15.2565994262695,9.24059963226318,-4.38692998886108,-0.0774667039513588,0.194,0.06,0.009,0.065
"2813",16,0.28,0.353,0.361,2852,1,1,0,0,0,2,96.4626998901367,-1.01500999927521,2.76400995254517,17.1588001251221,-7.16358995437622,-4.54993009567261,-0.318099975585938,0.21,0.095,0.006,0.081
"2814",30,0.2815,0.3255,0.4525,3810,1,1,1,0,0,3,86.9001922607422,0.76341301202774,2.36487007141113,7.38072967529297,1.8300199508667,-7.26636028289795,2.10285997390747,0.228,0.073,0.011,0.052
"2815",0,0.289,0.330666,0.453,2767,0,0,0,0,1,1,94.0790939331055,0.333645969629288,3.48282980918884,18.0198993682861,7.6317400932312,-4.2817497253418,-1.46028995513916,0.202,0.074,0.009,0.087
"2816",97,0.211,0.2905,0.3725,5472,1,3,2,1,0,6,81.25,-0.713984966278076,2.48214983940125,-4.67194986343384,-0.502299010753632,-8.60692024230957,1.78492987155914,0.224,0.093,0.007,0.058
"2817",117,0.2845,0.344,0.4435,2843,0,2,2,0,1,5,91.5004959106445,-0.359890997409821,3.09727001190186,17.2597999572754,5.77299976348877,-4.61568975448608,-0.740469932556152,0.209,0.086,0.009,0.064
"2818",25,0.264,0.364,0.48,2767,2,2,0,1,0,3,91.4194030761719,0.427837997674942,2.35561013221741,11.9012994766235,-11.2251996994019,-5.99337005615234,1.02200996875763,0.212,0.076,0.01,0.08
"2819",85,0.238,0.314,0.411,2767,0,0,1,1,0,2,89.755500793457,0.748563945293427,3.06326007843018,8.85070991516113,2.82867980003357,-5.13631010055542,2.93594002723694,0.222,0.07,0.011,0.054
"2820",142,0.3195,0.3605,0.4435,5472,0,1,2,0,1,5,75.2427978515625,0.0940511003136635,1.05620002746582,-11.3893003463745,-2.56297993659973,-11.4857997894287,-0.759925961494446,0.27,0.081,0.006,0.022
"2821",133,0.264,0.3265,0.3625,2542,1,2,1,1,0,4,94.3234024047852,0.158858999609947,2.79494976997375,13.2452001571655,2.86468005180359,-5.29815006256104,2.07466006278992,0.225,0.077,0.009,0.067
"2822",73,0.289,0.381,0.374,2745,0,0,0,1,1,1,85.8719940185547,0.618209004402161,1.74422001838684,12.4696998596191,15.1182994842529,-7.41497945785522,-0.228194996714592,0.222,0.08,0.008,0.057
"2823",122,0.245,0.3,0.3745,2529,2,2,1,1,1,4,91.4525985717773,-0.173036009073257,2.40263986587524,20.8485984802246,7.93946933746338,-4.97889995574951,0.0839509963989258,0.195,0.085,0.01,0.084
"2824",40,0.281666,0.372333,0.395666,2745,0,1,0,1,1,2,87.5998458862305,-0.208079993724823,2.39971995353699,15.418869972229,9.2580394744873,-6.24811363220215,-0.792568981647491,0.197,0.091,0.007,0.088
"2825",65,0.27,0.375,0.409,4669,0,3,1,0,0,5,96.5739974975586,-0.345122009515762,1.93431997299194,13.7105989456177,-12.5207986831665,-5.80036973953247,0.954690992832184,0.255,0.089,0.007,0.048
"2826",57,0.289333,0.325333,0.406,2528,1,0,1,1,0,2,89.3762969970703,-0.10810699313879,2.09808993339539,10.0492992401123,-5.269700050354,-6.41312026977539,2.08552002906799,0.232,0.085,0.008,0.042
"2827",51,0.271,0.3205,0.411,2542,0,0,0,0,1,1,82.6305999755859,0.17850399017334,2.52074003219604,-7.32923936843872,-5.28750991821289,-7.67119979858398,-2.00378012657166,0.237,0.074,0.007,0.053
"2828",16,0.28,0.353,0.361,2852,1,1,0,0,0,2,91.1919021606445,-0.895846962928772,3.71043992042542,21.9023990631104,-8.19278049468994,-3.54088997840881,-0.280792981386185,0.159,0.099,0.008,0.147
"2829",0,0.289,0.330666,0.453,2844,0,2,2,0,0,7,93.7592926025391,-0.964273989200592,2.71222996711731,7.66939973831177,-17.5608997344971,-5.51087999343872,0.139108002185822,0.236,0.082,0.005,0.042
"2830",141,0.2895,0.3435,0.42,4715,0,0,1,0,0,2,95.1741943359375,-0.650421977043152,2.50926995277405,14.6350994110107,-8.32363033294678,-5.09859991073608,-0.0289809983223677,0.241,0.09,0.006,0.041
"2831",141,0.2895,0.3435,0.42,4715,0,2,2,0,0,5,81.30419921875,-0.335527986288071,2.58240985870361,-6.43121957778931,13.3379001617432,-8.44307994842529,2.32381987571716,0.237,0.084,0.007,0.049
"2832",81,0.261,0.3285,0.3655,2843,1,0,0,0,1,1,78.0009994506836,-0.782469987869263,2.82309007644653,5.52359962463379,-9.47406959533691,-7.20063972473145,-4.51588010787964,0.172,0.098,0.006,0.097
"2833",141,0.2895,0.3435,0.42,2724,2,0,0,0,0,1,76.3759002685547,-0.338631987571716,2.40371990203857,-9.30367946624756,5.26488971710205,-9.06447982788086,3.39994978904724,0.198,0.087,0.006,0.081
"2834",49,0.269666,0.351,0.413333,2823,1,1,2,1,0,4,86.252197265625,0.04488829895854,2.48280000686646,11.283899307251,-5.96423006057739,-6.82166957855225,2.79975986480713,0.217,0.087,0.01,0.045
"2835",0,0.289,0.330666,0.453,5472,1,0,1,0,0,2,87.0214996337891,0.805828034877777,2.32015991210938,-0.851580023765564,5.40481996536255,-7.43804979324341,2.56445980072021,0.253,0.066,0.01,0.038
"2836",82,0.2365,0.3505,0.429,2745,2,2,1,0,0,4,85.9602966308594,0.15515299141407,2.2406599521637,4.4214596748352,0.348820000886917,-7.59628963470459,1.65577006340027,0.22,0.079,0.009,0.063
"2837",97,0.211,0.2905,0.3725,2858,0,0,1,1,1,2,78.1686935424805,-0.46867299079895,2.50697994232178,3.9967999458313,-11.8107995986938,-5.63972997665405,-5.22231960296631,0.192,0.088,0.008,0.061
"2838",144,0.219,0.294,0.482,2844,1,0,0,0,0,1,83.2243957519531,0.135768994688988,2.02822995185852,6.56529951095581,-1.53928005695343,-7.2719898223877,1.04005002975464,0.206,0.085,0.008,0.065
"2839",51,0.271,0.3205,0.411,3970,2,2,0,0,0,3,93.436897277832,-0.429069012403488,1.96545004844666,16.9721984863281,-11.8121004104614,-6.40777969360352,-1.01385998725891,0.216,0.091,0.007,0.073
"2840",82,0.2365,0.3505,0.429,3789,1,2,1,0,0,4,87.0557022094727,0.603223979473114,1.92075002193451,6.28940010070801,1.08671998977661,-7.17973947525024,3.2703001499176,0.232,0.077,0.01,0.053
"2841",66,0.277,0.3475,0.4255,3789,1,2,2,0,1,7,82.5649948120117,0.738865971565247,1.37591004371643,10.1828994750977,13.1518993377686,-7.83987998962402,0.663571000099182,0.217,0.069,0.009,0.044
"2842",104,0.2755,0.359,0.467,2529,2,0,1,1,1,2,86.7671966552734,-0.971086978912354,2.17104005813599,8.87963008880615,-1.74475002288818,-6.62638998031616,-2.16824984550476,0.215,0.093,0.006,0.051
"2843",82,0.2365,0.3505,0.429,2745,1,0,0,0,0,1,96.326789855957,0.34705001115799,2.32554984092712,11.8042993545532,-20.1770000457764,-5.08205986022949,0.279010981321335,0.248,0.073,0.009,0.045
"2844",104,0.2755,0.359,0.467,2529,1,0,0,1,0,1,94.5039978027344,0.0591902025043964,2.64952993392944,11.819899559021,-9.12648010253906,-4.87468957901001,1.59557998180389,0.226,0.077,0.008,0.06
"2845",16,0.28,0.353,0.361,3810,0,2,1,0,0,4,94.2612991333008,-0.433542013168335,2.42748999595642,9.69912052154541,-15.4383993148804,-5.79601001739502,0.151266008615494,0.247,0.087,0.007,0.048
"2846",104,0.2755,0.359,0.467,3789,1,2,2,1,0,5,91.5845947265625,0.84155398607254,2.43231987953186,9.81013011932373,-9.88677978515625,-6.33186960220337,1.37661004066467,0.251,0.07,0.013,0.037
"2847",152,0.314,0.353,0.461,2683,0,1,0,0,1,2,84.6124038696289,-0.0494488999247551,1.56255996227264,2.1740300655365,11.2632999420166,-8.0549898147583,-0.725082993507385,0.238,0.084,0.006,0.056
"2848",40,0.281666,0.372333,0.395666,4669,0,0,1,1,0,2,90.0199966430664,-0.654671967029572,1.96789991855621,7.84264993667603,-13.6512994766235,-6.35317039489746,0.0552819967269898,0.247,0.092,0.006,0.035
"2849",73,0.289,0.381,0.374,3789,0,0,1,1,0,2,91.347297668457,0.489017993211746,2.07232999801636,7.19923973083496,-17.1983985900879,-6.17203950881958,2.1201000213623,0.26,0.076,0.009,0.031
"2850",142,0.3195,0.3605,0.4435,2858,1,1,0,1,0,2,95.1714935302734,-0.698709964752197,2.35443997383118,15.7216997146606,-7.38763999938965,-5.34959983825684,0.11744899302721,0.22,0.092,0.006,0.069
"2851",125,0.2295,0.3255,0.4005,4669,0,0,0,1,0,1,90.418701171875,0.762552976608276,2.77880001068115,6.47781991958618,-2.23070979118347,-5.67988967895508,2.67381000518799,0.228,0.07,0.009,0.06
"2852",51,0.271,0.3205,0.411,3970,0,0,2,0,0,4,93.8549957275391,0.389056980609894,3.43613982200623,16.207799911499,-14.4635000228882,-4.76330995559692,0.663213014602661,0.223,0.071,0.01,0.04
"2853",111,0.2695,0.3525,0.3905,5355,0,0,2,1,0,3,69.8268966674805,-0.779464960098267,3.13355994224548,-17.3237991333008,6.6956000328064,-10.4096994400024,1.79092001914978,0.209,0.094,0.006,0.051
"2854",40,0.281666,0.372333,0.395666,2745,1,0,1,1,0,2,91.1961975097656,0.18529400229454,2.42969989776611,8.49234008789062,-14.9786987304688,-6.03870010375977,0.255043983459473,0.242,0.076,0.009,0.038
"2855",16,0.28,0.353,0.361,2852,0,2,2,0,0,5,95.3686981201172,-0.421736985445023,2.02728986740112,15.7622003555298,-9.07365989685059,-6.02628993988037,0.250182002782822,0.26,0.09,0.007,0.033
"2856",97,0.211,0.2905,0.3725,5472,0,1,1,1,1,3,87.5466003417969,-0.2656269967556,2.10249996185303,9.25607013702393,-3.31114983558655,-6.70401954650879,-1.99061000347137,0.232,0.087,0.007,0.047
"2857",125,0.2295,0.3255,0.4005,4669,0,0,2,1,0,4,79.6942977905273,-0.66969496011734,2.35083985328674,2.69326996803284,-7.23028993606567,-7.03375959396362,0.956318974494934,0.207,0.091,0.006,0.042
"2858",84,0.267,0.3825,0.389,2797,1,3,2,1,0,7,89.3162994384766,0.38416200876236,3.10500001907349,3.87653970718384,3.68130970001221,-6.00269031524658,2.5209698677063,0.221,0.067,0.01,0.064
"2859",82,0.2365,0.3505,0.429,2745,2,0,2,0,0,3,76.8475952148438,0.79609602689743,2.52526998519897,3.37294983863831,20.9237995147705,-7.49808025360107,4.32980012893677,0.193,0.073,0.014,0.057
"2860",81,0.261,0.3285,0.3655,2823,0,1,0,1,0,2,80.2999954223633,-0.482473999261856,2.5876100063324,0.609113991260529,-11.6795997619629,-7.35988998413086,1.77438008785248,0.192,0.097,0.006,0.088
"2861",57,0.289333,0.325333,0.406,2528,0,2,2,1,0,5,84.5429000854492,-0.0532333999872208,2.33138990402222,7.89394998550415,5.24501991271973,-6.66326951980591,2.3236198425293,0.219,0.087,0.009,0.052
"2862",34,0.263,0.379666,0.376666,2541,0,1,1,1,0,3,95.9636001586914,0.687435984611511,3.56003975868225,22.8656997680664,-3.11678004264832,-4.18914985656738,1.73679995536804,0.205,0.075,0.012,0.072
"2863",57,0.289333,0.325333,0.406,2745,1,1,1,1,0,3,98.8317947387695,0.245190992951393,2.02098989486694,11.2251996994019,-13.0645999908447,-5.62527990341187,0.788515985012054,0.28,0.073,0.009,0.031
"2864",134,0.273,0.378,0.481,3789,2,1,2,1,1,6,85.7655944824219,-0.307276010513306,1.77676999568939,1.99205994606018,-5.84398984909058,-8.14351940155029,-3.09044981002808,0.243,0.071,0.006,0.031
"2865",51,0.271,0.3205,0.411,3970,1,0,0,0,0,1,76.0558013916016,0.0890638008713722,3.25384998321533,-8.22177982330322,16.8375988006592,-8.30961990356445,3.59532976150513,0.184,0.08,0.007,0.108
"2866",137,0.268333,0.370333,0.385666,4715,0,1,1,1,1,3,91.5827026367188,0.125650003552437,2.77330994606018,14.6924991607666,3.53705978393555,-5.93005990982056,-1.29969990253448,0.225,0.08,0.008,0.057
"2867",107,0.261,0.3035,0.411,2842,0,1,2,1,1,4,83.5105972290039,0.41236400604248,2.22075986862183,0.0384300015866757,-3.52916979789734,-7.12167024612427,-3.02540969848633,0.252,0.072,0.01,0.032
"2868",133,0.264,0.3265,0.3625,2542,0,1,1,1,1,3,75.1531982421875,-0.678669989109039,1.70007991790771,-9.51410007476807,-3.63295006752014,-10.1276998519897,-3.01503992080688,0.236,0.095,0.005,0.043
"2869",134,0.273,0.378,0.481,3789,2,1,0,1,0,2,84.5934982299805,0.347826987504959,2.25261998176575,6.26715993881226,-0.00239000003784895,-6.94875001907349,3.37283992767334,0.198,0.08,0.009,0.085
"2870",65,0.27,0.375,0.409,3789,0,0,0,0,0,1,98.7105941772461,-0.438551992177963,2.24078011512756,14.0867986679077,-7.19324016571045,-5.1510500907898,0.548034965991974,0.255,0.085,0.006,0.045
"2871",122,0.245,0.3,0.3745,2772,1,1,0,1,1,2,88.4989929199219,0.989793956279755,2.29940009117126,11.2433996200562,10.9502000808716,-6.27369022369385,0.287555992603302,0.215,0.069,0.011,0.074
"2872",16,0.28,0.353,0.361,2852,1,0,0,0,1,1,92.2082977294922,0.859490931034088,2.27842998504639,8.2353401184082,21.5334987640381,-6.03646993637085,0.0561119988560677,0.243,0.063,0.009,0.056
"2873",142,0.3195,0.3605,0.4435,5472,1,0,0,1,0,1,96.0559997558594,0.472225993871689,3.45968985557556,14.9736995697021,-9.80319976806641,-4.24901008605957,2.14519000053406,0.21,0.072,0.01,0.076
"2874",85,0.238,0.314,0.411,2844,0,3,2,1,0,6,92.5764999389648,-0.401068985462189,1.97044003009796,17.7901992797852,-7.27743005752563,-6.10348987579346,0.383957982063294,0.237,0.095,0.008,0.044
"2875",111,0.2695,0.3525,0.3905,5355,2,0,1,1,0,2,81.055793762207,0.327300012111664,1.74181008338928,-6.07151985168457,11.2439994812012,-8.73048973083496,3.90758991241455,0.241,0.074,0.009,0.041
"2876",41,0.2405,0.3375,0.4175,3789,1,0,1,0,0,2,81.0635986328125,-0.128349989652634,2.61716985702515,-4.27822017669678,3.64642000198364,-7.39642953872681,1.42009997367859,0.218,0.079,0.008,0.054
"2877",122,0.245,0.3,0.3745,3789,1,1,0,1,0,2,91.6915969848633,-0.434204995632172,2.34051990509033,9.43513011932373,-10.750599861145,-6.12985992431641,0.538749992847443,0.223,0.088,0.006,0.066
